Tanggal,curah_hujan
11-09-2011,14.3
12-09-2011,0.0
13-09-2011,0.0
14-09-2011,6.6
15-09-2011,10.2
16-09-2011,14.1
17-09-2011,7.3
18-09-2011,15.6
19-09-2011,46.9
20-09-2011,4.7
21-09-2011,0.0
22-09-2011,0.0
23-09-2011,0.0
24-09-2011,0.0
25-09-2011,0.0
26-09-2011,0.0
27-09-2011,0.0
28-09-2011,1.1
29-09-2011,5.0
30-09-2011,0.0
01-10-2011,0.0
02-10-2011,16.8
03-10-2011,0.6
04-10-2011,0.0
05-10-2011,4.4
06-10-2011,10.2
07-10-2011,1.0
08-10-2011,4.7
09-10-2011,0.5
10-10-2011,0.0
11-10-2011,0.0
12-10-2011,0.0
13-10-2011,0.0
14-10-2011,0.0
15-10-2011,0.0
16-10-2011,0.0
17-10-2011,3.8
18-10-2011,1.3
19-10-2011,18.2
20-10-2011,3.3
21-10-2011,1.0
22-10-2011,0.0
23-10-2011,0.0
24-10-2011,27.7
25-10-2011,0.0
26-10-2011,3.2
27-10-2011,0.3
28-10-2011,10.4
29-10-2011,4.9
30-10-2011,24.7
31-10-2011,0.0
01-11-2011,0.0
02-11-2011,0.0
03-11-2011,1.5
04-11-2011,15.7
05-11-2011,4.3
06-11-2011,4.3
07-11-2011,7.0
08-11-2011,0.0
09-11-2011,0.0
10-11-2011,3.6
11-11-2011,0.0
12-11-2011,0.0
13-11-2011,0.0
14-11-2011,0.0
15-11-2011,0.0
16-11-2011,0.0
17-11-2011,0.0
18-11-2011,0.0
19-11-2011,0.0
20-11-2011,1.9
21-11-2011,0.0
22-11-2011,2.4
23-11-2011,1.8
24-11-2011,0.0
25-11-2011,2.0
26-11-2011,0.0
27-11-2011,0.0
28-11-2011,0.0
29-11-2011,9.2
30-11-2011,1.0
01-12-2011,27.7
02-12-2011,0.0
03-12-2011,0.0
04-12-2011,9.3
05-12-2011,14.7
06-12-2011,5.0
07-12-2011,0.0
08-12-2011,0.0
09-12-2011,0.0
10-12-2011,4.0
11-12-2011,20.5
12-12-2011,0.0
13-12-2011,0.9
14-12-2011,0.2
15-12-2011,0.8
16-12-2011,13.7
17-12-2011,1.1
18-12-2011,1.8
19-12-2011,19.9
20-12-2011,59.0
21-12-2011,34.7
22-12-2011,7.8
23-12-2011,9.0
24-12-2011,2.0
25-12-2011,11.2
26-12-2011,15.3
27-12-2011,0.0
28-12-2011,16.7
29-12-2011,54.5
30-12-2011,0.0
31-12-2011,1.0
01-01-2012,1.4
02-01-2012,0.0
03-01-2012,12.8
04-01-2012,2.8
05-01-2012,0.0
06-01-2012,26.3
07-01-2012,0.8
08-01-2012,1.8
09-01-2012,1.1
10-01-2012,3.5
11-01-2012,5.3
12-01-2012,0.0
13-01-2012,4.6
14-01-2012,1.8
15-01-2012,4.4
16-01-2012,0.0
17-01-2012,9.0
18-01-2012,4.2
19-01-2012,0.3
20-01-2012,0.4
21-01-2012,10.2
22-01-2012,3.8
23-01-2012,0.0
24-01-2012,4.1
25-01-2012,3.6
26-01-2012,0.0
27-01-2012,3.9
28-01-2012,0.0
29-01-2012,0.0
30-01-2012,0.0
31-01-2012,0.8
01-02-2012,3.5
02-02-2012,19.8
03-02-2012,1.7
04-02-2012,0.0
05-02-2012,0.0
06-02-2012,0.0
07-02-2012,60.8
08-02-2012,16.0
09-02-2012,2.3
10-02-2012,23.9
11-02-2012,12.3
12-02-2012,1.7
13-02-2012,15.6
14-02-2012,0.0
15-02-2012,0.0
16-02-2012,15.5
17-02-2012,6.2
18-02-2012,5.8
19-02-2012,18.1
20-02-2012,8.3
21-02-2012,2.0
22-02-2012,1.5
23-02-2012,0.0
24-02-2012,0.0
25-02-2012,0.8
26-02-2012,2.5
27-02-2012,30.4
28-02-2012,27.9
29-02-2012,16.9
01-03-2012,0.0
02-03-2012,1.9
03-03-2012,0.0
04-03-2012,0.6
05-03-2012,0.6
06-03-2012,1.6
07-03-2012,2.1
08-03-2012,0.5
09-03-2012,0.9
10-03-2012,0.3
11-03-2012,2.4
12-03-2012,1.0
13-03-2012,0.0
14-03-2012,0.0
15-03-2012,0.0
16-03-2012,0.0
17-03-2012,0.0
18-03-2012,0.0
19-03-2012,0.0
20-03-2012,0.4
21-03-2012,0.0
22-03-2012,2.4
23-03-2012,4.9
24-03-2012,0.0
25-03-2012,0.0
26-03-2012,7.3
27-03-2012,0.1
28-03-2012,0.0
29-03-2012,0.0
30-03-2012,0.9
31-03-2012,0.9
01-04-2012,3.2
02-04-2012,0.0
03-04-2012,0.0
04-04-2012,5.6
05-04-2012,1.0
06-04-2012,11.3
07-04-2012,1.0
08-04-2012,15.0
09-04-2012,0.0
10-04-2012,4.1
11-04-2012,0.0
12-04-2012,2.8
13-04-2012,0.0
14-04-2012,0.2
15-04-2012,0.5
16-04-2012,15.0
17-04-2012,1.9
18-04-2012,0.0
19-04-2012,15.0
20-04-2012,4.0
21-04-2012,15.2
22-04-2012,0.8
23-04-2012,0.5
24-04-2012,0.0
25-04-2012,0.0
26-04-2012,0.3
27-04-2012,3.7
28-04-2012,1.0
29-04-2012,0.0
30-04-2012,0.0
01-05-2012,7.3
02-05-2012,25.7
03-05-2012,19.9
04-05-2012,22.6
05-05-2012,14.0
06-05-2012,0.0
07-05-2012,11.5
08-05-2012,45.5
09-05-2012,0.0
10-05-2012,0.0
11-05-2012,0.0
